theta (rad),r (-),radial mach,tangential mach,mach number,x,y
0.865214,0.928945,0.917026,-1.077630,1.414999,0.602399,0.707144
0.865509,0.928712,0.916708,-1.077902,1.415001,0.602040,0.707145
0.865803,0.928479,0.916391,-1.078174,1.415002,0.601681,0.707145
0.866098,0.928247,0.916073,-1.078445,1.415003,0.601322,0.707145
0.866392,0.928015,0.915756,-1.078717,1.415005,0.600964,0.707145
0.866687,0.927783,0.915438,-1.078988,1.415006,0.600605,0.707145
0.866981,0.927551,0.915120,-1.079260,1.415007,0.600247,0.707146
0.867276,0.927320,0.914802,-1.079531,1.415009,0.599889,0.707146
0.867570,0.927088,0.914484,-1.079802,1.415010,0.599531,0.707146
0.867865,0.926857,0.914166,-1.080073,1.415011,0.599173,0.707146
0.868159,0.926626,0.913848,-1.080344,1.415013,0.598816,0.707146
0.868454,0.926396,0.913530,-1.080615,1.415014,0.598458,0.707147
0.868749,0.926165,0.913211,-1.080886,1.415015,0.598101,0.707147
0.869043,0.925935,0.912893,-1.081156,1.415017,0.597744,0.707147
0.869338,0.925704,0.912575,-1.081427,1.415018,0.597387,0.707147
0.869632,0.925474,0.912256,-1.081697,1.415019,0.597031,0.707147
0.869927,0.925245,0.911937,-1.081968,1.415021,0.596674,0.707148
0.870221,0.925015,0.911619,-1.082238,1.415022,0.596318,0.707148
0.870516,0.924786,0.911300,-1.082508,1.415023,0.595962,0.707148
0.870810,0.924557,0.910981,-1.082778,1.415025,0.595606,0.707148
0.871105,0.924328,0.910662,-1.083048,1.415026,0.595250,0.707148
0.871399,0.924099,0.910343,-1.083318,1.415027,0.594894,0.707149
0.871694,0.923870,0.910024,-1.083588,1.415029,0.594539,0.707149
0.871988,0.923642,0.909705,-1.083857,1.415030,0.594184,0.707149
0.872283,0.923413,0.909386,-1.084127,1.415031,0.593829,0.707149
0.872577,0.923185,0.909066,-1.084397,1.415033,0.593474,0.707149
0.872872,0.922958,0.908747,-1.084666,1.415034,0.593119,0.707149
0.873166,0.922730,0.908427,-1.084935,1.415035,0.592765,0.707150
0.873461,0.922502,0.908108,-1.085204,1.415036,0.592410,0.707150
0.873755,0.922275,0.907788,-1.085474,1.415038,0.592056,0.707150
0.874050,0.922048,0.907468,-1.085742,1.415039,0.591702,0.707150
0.874345,0.921821,0.907148,-1.086011,1.415040,0.591348,0.707150
0.874639,0.921595,0.906829,-1.086280,1.415042,0.590995,0.707151
0.874934,0.921368,0.906509,-1.086549,1.415043,0.590641,0.707151
0.875228,0.921142,0.906189,-1.086818,1.415044,0.590288,0.707151
0.875523,0.920916,0.905868,-1.087086,1.415045,0.589935,0.707151
0.875817,0.920690,0.905548,-1.087354,1.415047,0.589582,0.707151
0.876112,0.920464,0.905228,-1.087623,1.415048,0.589229,0.707152
0.876406,0.920238,0.904908,-1.087891,1.415049,0.588876,0.707152
0.876701,0.920013,0.904587,-1.088159,1.415051,0.588524,0.707152
0.876995,0.919788,0.904267,-1.088427,1.415052,0.588171,0.707152
0.877290,0.919563,0.903946,-1.088695,1.415053,0.587819,0.707152
0.877584,0.919338,0.903625,-1.088963,1.415054,0.587467,0.707153
0.877879,0.919114,0.903305,-1.089231,1.415056,0.587116,0.707153
0.878173,0.918889,0.902984,-1.089498,1.415057,0.586764,0.707153
0.878468,0.918665,0.902663,-1.089766,1.415058,0.586413,0.707153
0.878762,0.918441,0.902342,-1.090033,1.415059,0.586061,0.707153
0.879057,0.918217,0.902021,-1.090300,1.415061,0.585710,0.707154
0.879351,0.917994,0.901699,-1.090568,1.415062,0.585359,0.707154
0.879646,0.917770,0.901378,-1.090835,1.415063,0.585009,0.707154
0.879940,0.917547,0.901057,-1.091102,1.415064,0.584658,0.707154
0.880235,0.917324,0.900736,-1.091369,1.415066,0.584308,0.707154
0.880530,0.917101,0.900414,-1.091636,1.415067,0.583957,0.707155
0.880824,0.916878,0.900093,-1.091902,1.415068,0.583607,0.707155
0.881119,0.916656,0.899771,-1.092169,1.415069,0.583258,0.707155
0.881413,0.916433,0.899449,-1.092436,1.415070,0.582908,0.707155
0.881708,0.916211,0.899127,-1.092702,1.415072,0.582558,0.707155
0.882002,0.915989,0.898806,-1.092968,1.415073,0.582209,0.707156
0.882297,0.915767,0.898484,-1.093235,1.415074,0.581860,0.707156
0.882591,0.915546,0.898162,-1.093501,1.415075,0.581511,0.707156
0.882886,0.915325,0.897839,-1.093767,1.415077,0.581162,0.707156
0.883180,0.915103,0.897517,-1.094033,1.415078,0.580813,0.707156
0.883475,0.914882,0.897195,-1.094299,1.415079,0.580465,0.707157
0.883769,0.914661,0.896873,-1.094564,1.415080,0.580116,0.707157
0.884064,0.914441,0.896550,-1.094830,1.415081,0.579768,0.707157
0.884358,0.914220,0.896228,-1.095096,1.415083,0.579420,0.707157
0.884653,0.914000,0.895905,-1.095361,1.415084,0.579072,0.707157
0.884947,0.913780,0.895583,-1.095627,1.415085,0.578724,0.707158
0.885242,0.913560,0.895260,-1.095892,1.415086,0.578377,0.707158
0.885536,0.913340,0.894937,-1.096157,1.415087,0.578030,0.707158
0.885831,0.913121,0.894614,-1.096422,1.415089,0.577682,0.707158
0.886125,0.912902,0.894291,-1.096687,1.415090,0.577335,0.707158
0.886420,0.912682,0.893968,-1.096952,1.415091,0.576989,0.707159
0.886715,0.912463,0.893645,-1.097217,1.415092,0.576642,0.707159
0.887009,0.912245,0.893322,-1.097481,1.415093,0.576295,0.707159
0.887304,0.912026,0.892999,-1.097746,1.415095,0.575949,0.707159
0.887598,0.911808,0.892675,-1.098011,1.415096,0.575603,0.707159
0.887893,0.911589,0.892352,-1.098275,1.415097,0.575257,0.707160
0.888187,0.911371,0.892028,-1.098539,1.415098,0.574911,0.707160
0.888482,0.911153,0.891705,-1.098803,1.415099,0.574565,0.707160
0.888776,0.910936,0.891381,-1.099068,1.415101,0.574220,0.707160
0.889071,0.910718,0.891057,-1.099332,1.415102,0.573874,0.707160
0.889365,0.910501,0.890733,-1.099595,1.415103,0.573529,0.707161
0.889660,0.910284,0.890410,-1.099859,1.415104,0.573184,0.707161
0.889954,0.910067,0.890086,-1.100123,1.415105,0.572839,0.707161
0.890249,0.909850,0.889762,-1.100387,1.415106,0.572495,0.707161
0.890543,0.909633,0.889437,-1.100650,1.415108,0.572150,0.707161
0.890838,0.909417,0.889113,-1.100913,1.415109,0.571806,0.707162
0.891132,0.909201,0.888789,-1.101177,1.415110,0.571462,0.707162
0.891427,0.908985,0.888465,-1.101440,1.415111,0.571117,0.707162
0.891721,0.908769,0.888140,-1.101703,1.415112,0.570774,0.707162
0.892016,0.908553,0.887816,-1.101966,1.415113,0.570430,0.707162
0.892310,0.908338,0.887491,-1.102229,1.415115,0.570086,0.707163
0.892605,0.908122,0.887166,-1.102492,1.415116,0.569743,0.707163
0.892900,0.907907,0.886842,-1.102755,1.415117,0.569400,0.707163
0.893194,0.907692,0.886517,-1.103017,1.415118,0.569057,0.707163
0.893489,0.907478,0.886192,-1.103280,1.415119,0.568714,0.707163
0.893783,0.907263,0.885867,-1.103542,1.415120,0.568371,0.707164
0.894078,0.907049,0.885542,-1.103804,1.415121,0.568028,0.707164
0.894372,0.906834,0.885217,-1.104067,1.415123,0.567686,0.707164
0.894667,0.906620,0.884891,-1.104329,1.415124,0.567344,0.707164
0.894961,0.906406,0.884566,-1.104591,1.415125,0.567002,0.707165
0.895256,0.906193,0.884241,-1.104853,1.415126,0.566660,0.707165
0.895550,0.905979,0.883915,-1.105115,1.415127,0.566318,0.707165
0.895845,0.905766,0.883590,-1.105376,1.415128,0.565976,0.707165
0.896139,0.905553,0.883264,-1.105638,1.415129,0.565635,0.707165
0.896434,0.905340,0.882939,-1.105900,1.415131,0.565294,0.707166
0.896728,0.905127,0.882613,-1.106161,1.415132,0.564953,0.707166
0.897023,0.904914,0.882287,-1.106422,1.415133,0.564612,0.707166
0.897317,0.904702,0.881961,-1.106684,1.415134,0.564271,0.707166
0.897612,0.904490,0.881635,-1.106945,1.415135,0.563930,0.707166
0.897906,0.904278,0.881309,-1.107206,1.415136,0.563590,0.707167
0.898201,0.904066,0.880983,-1.107467,1.415137,0.563249,0.707167
